id,fullname,username
1,Sayfullo_006,Sayfullo_006
2,Dbek83developer,Dbek83developer
3,Asadbek139,Asadbek139
4,Durdona01,Durdona01
6,SaidjonRavshanov,SaidjonRavshanov
7,Zukhriddin0212,Zukhriddin0212
8,Sherxon_Karimov,Sherxon_Karimov
9,asilbekjon0114,asilbekjon0114
10,komilegamqulov,komilegamqulov
11,behruz101,behruz101
