names,kata_ids
kata1,5a03b3f6a1c9040084001765
kata2,589519d1f0902e01af000054
kata3,589478160c0f8a40870000bc
kata4,542f0c36d002f8cd8a0005e5
kata5,5899aa695401a83a5c0000c4
kata6,56200d610758762fb0000002
kata7,5b853229cfde412a470000d0
kata8,50654ddff44f800200000004
kata9,55f73be6e12baaa5900000d4
kata10,56dec885c54a926dcd001095
kata11,53ee5429ba190077850011d4
