name,username,total_completed
Zukhriddin0212,Zukhriddin0212,30
Asadbek139,Asadbek139,22
Dbek83developer,Dbek83developer,17
SaidjonRavshanov,SaidjonRavshanov,17
Durdona01,Durdona01,13
Sherxon_Karimov,Sherxon_Karimov,12
asilbekjon0114,asilbekjon0114,5
Sayfullo_006,Sayfullo_006,2
