id,Username,Solved Katas
1,Sayfullo_006,2
2,Dbek83developer,0
3,Asadbek139,0
4,Durdona01,0
5,SaidjonRavshanov,0
6,Zukhriddin0212,1
7,Sherxon_Karimov,0
8,asilbekjon0114,0
9,komilegamqulov,0
10,behruz101,0
