name,username,total_completed
komilegamqulov,komilegamqulov,24
Asadbek139,Asadbek139,22
Sherxon_Karimov,Sherxon_Karimov,20
SaidjonRavshanov,SaidjonRavshanov,17
Durdona01,Durdona01,11
Dbek83developer,Dbek83developer,6
asilbekjon0114,asilbekjon0114,6
Sayfullo_006,Sayfullo_006,0
Zukhriddin0212,Zukhriddin0212,0
